"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000125871",801.512032896604,890.434031710391,874.807973887766,650.938039364308,1295.1917661943,1299.06020417634,1304.44621512362,1081.96713803239
"ENSG00000125872",9.33267435564539,10.5263560975973,5.48813032551924,0.876684228100079,8.82798672186959,3.56884671477016,5.97000556120649,6.7202927828099
"ENSG00000125875",1758.38564477248,1668.90591220088,1306.17501747358,1241.38486698971,475.450142020691,406.848525483799,379.095353136612,433.458884491239
"ENSG00000125877",158.655464045972,165.550873171303,249.161116778573,306.401137720977,129.89751890751,117.771941587415,265.665247473689,235.210247398347
"ENSG00000125878",0,0,0,0,16.3948324834721,3.56884671477016,11.940011122413,12.3205367684848
"ENSG00000125879",0,0,0.548813032551924,0.876684228100079,0,0,0,0
"ENSG00000125885",698.303634140055,680.863851221863,723.335576903436,704.854119392463,1031.61330549848,867.22975168915,1020.87095096631,1229.81357925421
"ENSG00000125895",40.6245824892799,32.5360097562099,3.29287819531154,11.396894965301,100.891276821367,146.322715305577,77.6100722956843,67.202927828099
"ENSG00000125898",270.098575469267,300.001148781523,167.387974928337,247.663294438272,201.782553642733,267.663503607762,173.130161274988,165.767221975978
"ENSG00000125900",0,0,0,0,46.6622155298821,42.826160577242,41.7900389284454,48.1620982768043
"ENSG00000125901",582.468675961162,571.294053660509,582.839440570143,746.934962341267,601.564238047399,620.979328370008,1029.82595930812,934.120696810576
"ENSG00000125903",3.29388506669837,3.34929512196278,3.29287819531154,5.69844748265051,0,0,0,0
"ENSG00000125910",6.58777013339674,4.30623658538072,0.548813032551924,0.876684228100079,2.52228192053417,3.56884671477016,0,2.24009759426997
"ENSG00000125912",783.944645874213,822.491187807717,741.446406977649,1098.92367992345,612.914506689803,567.446627648456,883.56082305856,812.035377922863
"ENSG00000125931",0,1.43541219512691,0.548813032551924,1.75336845620016,0,0,0,0
"ENSG00000125944",11106.9804449069,10484.7291439386,10839.606205933,10318.5733647379,14208.014058369,11737.9368448791,9289.32865323729,10227.1655666395
"ENSG00000125945",465.53575609337,448.805546343013,328.739006498602,279.223926649875,846.225584339214,795.852817393747,802.965747982273,807.555182734323
"ENSG00000125952",1503.10955210336,1477.996090249,1515.27278287586,1481.59634548913,2014.04211354653,1916.47068583158,2041.74190193262,2195.29564238457
"ENSG00000125962",640.111664628384,652.155607319325,698.090177406047,611.925591213855,302.6738304641,335.471591188395,304.470283621531,346.09507831471
"ENSG00000125965",0,1.43541219512691,0.548813032551924,0.876684228100079,1.26114096026708,0,2.98500278060324,3.36014639140495
"ENSG00000125966",216.847433557643,211.962534147073,76.8338245572693,90.7368176083581,156.381479073118,167.735795594198,188.055175178004,144.486294830413
