"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162819",1724.6086043064,-0.395427520655375,0.156716154310386,-2.52320842350563,0.0116289453995504,0.039206402841922
"ENSG00000088992",73.9251580504186,-0.858523756287558,0.340427879150044,-2.52189614561257,0.0116724163875839,0.0393379535436031
"ENSG00000166557",1986.5170227092,0.3874952712308,0.153654668062045,2.52185811285818,0.01167367842103,0.0393379535436031
"ENSG00000102383",105.616679645337,-0.730907788915045,0.289856960746141,-2.52161544450602,0.011681733688127,0.0393554663938882
"ENSG00000106682",5206.7329772763,0.286091032034029,0.113527049797979,2.52002524986888,0.0117346416217266,0.0395047140561257
"ENSG00000135446",854.596246594122,-0.355131356097784,0.140921972261909,-2.5200566696424,0.0117335941882619,0.0395047140561257
"ENSG00000180481",17.509845865914,-1.71956035845696,0.68232533925147,-2.52014729563373,0.0117305734758558,0.0395047140561257
"ENSG00000240849",1272.32249769396,0.370483385822785,0.147033154991687,2.51972683197699,0.0117445940429676,0.0395285542355465
"ENSG00000164695",391.805931084957,-0.427433968341654,0.169653816997807,-2.51944799065252,0.011753900339277,0.0395502086440628
"ENSG00000086967",6.48334998212608,3.00166467548686,1.19181401825817,2.51856802278075,0.0117833120685108,0.039624257551678
"ENSG00000137274",310.921538022699,-0.474727442666347,0.188484795961025,-2.51865112114672,0.0117805318303341,0.039624257551678
"ENSG00000163931",6749.70101465344,-0.296034041145602,0.117544596703242,-2.5184827669534,0.0117861650940861,0.039624257551678
"ENSG00000169762",756.054105342379,0.418189587486478,0.166050690972549,2.51844533158619,0.0117874180355634,0.039624257551678
"ENSG00000086205",13141.9437240005,-0.262173617699316,0.104110395417826,-2.51822708623028,0.0117947249416715,0.0396391427195202
"ENSG00000163497",27.2584831000766,1.42258090386273,0.564954420184081,2.51804544408946,0.0118008094262666,0.0396499133700012
"ENSG00000049246",408.681226427131,0.453290287524139,0.180056585667557,2.51748796548359,0.0118195007277461,0.039703026474832
"ENSG00000184831",403.887700676407,-0.422441077116842,0.16781964361961,-2.51723259569287,0.0118280716035804,0.0397221263194388
"ENSG00000180917",2025.55430218518,0.307870145741473,0.122329256635294,2.51673356161512,0.0118448363990349,0.0397687277196565
"ENSG00000144199",32.0866324891787,-1.36006016002993,0.540589965249288,-2.5158812546636,0.0118735179489601,0.0398553068355027
"ENSG00000152595",5.81106034632892,3.54742345001469,1.41036027724773,2.51526046730227,0.0118944472253832,0.0399158283807703
"ENSG00000180346",670.688717072739,-0.38344892530993,0.152468841228233,-2.51493303301189,0.0119054995439908,0.0399431830461036
